,Name,Command
180,ito-tomoyo-2,/Applications/Adobe Acrobat Reader DC.app/Contents/MacOS/AdobeReader
181,ito-tomoyo-2,/System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
182,ito-tomoyo-2,/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
183,ito-tomoyo-2,/usr/libexec/swcd
184,ito-tomoyo-2,/System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
185,ito-tomoyo-2,/usr/libexec/fmfd
186,ito-tomoyo-2,/System/Library/CoreServices/mapspushd
187,ito-tomoyo-2,/System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
188,ito-tomoyo-2,/usr/libexec/sharingd
189,ito-tomoyo-2,/System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
190,ito-tomoyo-2,/System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
191,ito-tomoyo-2,/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
192,ito-tomoyo-2,/System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
193,ito-tomoyo-2,/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
194,ito-tomoyo-2,/usr/libexec/mobileactivationd
195,ito-tomoyo-2,/Applications/Stickies.app/Contents/MacOS/Stickies
196,ito-tomoyo-2,/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
197,ito-tomoyo-2,/usr/libexec/nsurlstoraged
198,ito-tomoyo-2,/System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
199,ito-tomoyo-2,/System/Library/CoreServices/talagent
200,ito-tomoyo-2,/usr/sbin/wirelessproxd
201,ito-tomoyo-2,/System/Library/CoreServices/CrashReporterSupportHelper server-init
202,ito-tomoyo-2,/Applications/Numbers.app/Contents/MacOS/Numbers
203,ito-tomoyo-2,/System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
204,ito-tomoyo-2,/usr/libexec/secinitd
205,ito-tomoyo-2,/System/Library/CoreServices/APFSUserAgent
206,ito-tomoyo-2,/System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
